phenotype	snp	adjustment	beta	SE	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note	p.value	bonferroni	fdr	description	group
274.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7648	1	7647	0.989379954	0.022881799	38	 [Error: < 15  cases or controls]	NA	NA	NA	Crystal arthropathies	endocrine/metabolic
274.21	rs4266947_T	NA	NA	NA	NA	NA	NA	7647	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Chondrocalcinosis	endocrine/metabolic
275	rs4266947_T	NA	NA	NA	NA	NA	logistic	7649	10	7639	0.989392973	0.022878808	38	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders of mineral metabolism	endocrine/metabolic
275.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7641	2	7639	0.989854588	0.022837325	38	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders of iron metabolism	hematopoietic
275.11	rs4266947_T	NA	NA	NA	NA	NA	NA	7639	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hereditary hemochromatosis	hematopoietic
275.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7639	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Disorders of copper metabolism	endocrine/metabolic
275.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7640	1	7639	0.989842051	0.022840314	38	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders of magnesium metabolism	endocrine/metabolic
275.5	rs4266947_T	NA	NA	NA	NA	NA	logistic	7646	7	7639	0.989353867	0.022887784	38	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders of calcium/phosphorus metabolism	endocrine/metabolic
275.51	rs4266947_T	NA	NA	NA	NA	NA	NA	7639	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hypocalcemia	endocrine/metabolic
275.53	rs4266947_T	NA	NA	NA	NA	NA	NA	7639	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Disorders of phosphorus metabolism	endocrine/metabolic
275.6	rs4266947_T	NA	NA	NA	NA	NA	NA	7639	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hypercalcemia	endocrine/metabolic
276	rs4266947_T	NA	0.449283265	0.459611401	1.567188524	0.328307552	logistic	7648	71	7577	0.989379954	0.022881799	38		FALSE	FALSE	FALSE	"Disorders of fluid, electrolyte, and acid-base balance"	endocrine/metabolic
276.1	rs4266947_T	NA	0.503669196	0.517007385	1.654781864	0.329956667	logistic	7629	52	7577	0.989703136	0.022873247	38		FALSE	FALSE	FALSE	Electrolyte imbalance	endocrine/metabolic
276.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	7578	1	7577	0.991204046	0.022763262	38	 [Error: < 15  cases or controls]	NA	NA	NA	Hyperosmolality and/or hypernatremia	endocrine/metabolic
276.12	rs4266947_T	NA	0.2239847	0.748702048	1.251051878	0.764814915	logistic	7607	30	7577	0.990518459	0.02280794	38		FALSE	FALSE	FALSE	Hyposmolality and/or hyponatremia	endocrine/metabolic
276.13	rs4266947_T	NA	1.198260602	0.605646504	3.314346936	0.047874377	logistic	7598	21	7577	0.989868776	0.022900763	38		TRUE	FALSE	FALSE	Hyperpotassemia	endocrine/metabolic
276.14	rs4266947_T	NA	NA	NA	NA	NA	logistic	7578	1	7577	0.991204046	0.022763262	38	 [Error: < 15  cases or controls]	NA	NA	NA	Hypopotassemia	endocrine/metabolic
276.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	7579	2	7577	0.990709688	0.02282623	38	 [Error: < 15  cases or controls]	NA	NA	NA	Acid-base balance disorder	endocrine/metabolic
276.41	rs4266947_T	NA	NA	NA	NA	NA	logistic	7579	2	7577	0.990709688	0.02282623	38	 [Error: < 15  cases or controls]	NA	NA	NA	Acidosis	endocrine/metabolic
276.42	rs4266947_T	NA	NA	NA	NA	NA	NA	7577	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Alkalosis	endocrine/metabolic
276.5	rs4266947_T	NA	NA	NA	NA	NA	logistic	7591	14	7577	0.991347861	0.022724279	38	 [Error: < 15  cases or controls]	NA	NA	NA	Hypovolemia	endocrine/metabolic
276.6	rs4266947_T	NA	NA	NA	NA	NA	logistic	7585	8	7577	0.990779613	0.022808174	38	 [Error: < 15  cases or controls]	NA	NA	NA	Fluid overload	endocrine/metabolic
276.8	rs4266947_T	NA	NA	NA	NA	NA	NA	7577	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Polydipsia	endocrine/metabolic
277	rs4266947_T	NA	NA	NA	NA	NA	NA	7643	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Other disorders of metabolism	endocrine/metabolic
277.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7643	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Disorders of porphyrin metabolism	endocrine/metabolic
277.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7643	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Other disorders of purine and pyrimidine metabolism	endocrine/metabolic
277.4	rs4266947_T	NA	NA	NA	NA	NA	NA	7643	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Disorders of bilirubin excretion	endocrine/metabolic
277.5	rs4266947_T	NA	NA	NA	NA	NA	logistic	7649	6	7643	0.989392973	0.022878808	38	 [Error: < 15  cases or controls]	NA	NA	NA	Other disorders of lipoid metabolism	endocrine/metabolic
277.51	rs4266947_T	NA	NA	NA	NA	NA	logistic	7644	1	7643	0.989327719	0.022893773	38	 [Error: < 15  cases or controls]	NA	NA	NA	Lipoprotein disorders	endocrine/metabolic
277.6	rs4266947_T	NA	NA	NA	NA	NA	NA	7643	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Other deficiencies of circulating enzymes	endocrine/metabolic
277.7	rs4266947_T	NA	NA	NA	NA	NA	NA	7643	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Dysmetabolic syndrome X	endocrine/metabolic
277.8	rs4266947_T	NA	NA	NA	NA	NA	NA	7643	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Carnitine deficiencies	endocrine/metabolic
278	rs4266947_T	NA	NA	NA	NA	NA	logistic	7649	11	7638	0.989392973	0.022878808	38	 [Error: < 15  cases or controls]	NA	NA	NA	"Overweight, obesity and other hyperalimentation"	endocrine/metabolic
278.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7648	10	7638	0.989379954	0.022881799	38	 [Error: < 15  cases or controls]	NA	NA	NA	Obesity	endocrine/metabolic
278.11	rs4266947_T	NA	NA	NA	NA	NA	NA	7638	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Morbid obesity	endocrine/metabolic
278.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7639	1	7638	0.989829498	0.022843304	38	 [Error: < 15  cases or controls]	NA	NA	NA	Localized adiposity	endocrine/metabolic
278.4	rs4266947_T	NA	NA	NA	NA	NA	NA	7638	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Abnormal weight gain	endocrine/metabolic
279	rs4266947_T	NA	NA	NA	NA	NA	logistic	7647	1	7646	0.989366918	0.022884791	38	 [Error: < 15  cases or controls]	NA	NA	NA	Disorders involving the immune mechanism	endocrine/metabolic
279.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7647	1	7646	0.989366918	0.022884791	38	 [Error: < 15  cases or controls]	NA	NA	NA	Immunity deficiency	endocrine/metabolic
279.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	7647	1	7646	0.989366918	0.022884791	38	 [Error: < 15  cases or controls]	NA	NA	NA	Deficiency of humoral immunity	endocrine/metabolic
279.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7646	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Autoimmune disease NEC	endocrine/metabolic
279.7	rs4266947_T	NA	NA	NA	NA	NA	logistic	7648	2	7646	0.989379954	0.022881799	38	 [Error: < 15  cases or controls]	NA	NA	NA	Other immunological findings	endocrine/metabolic
279.8	rs4266947_T	NA	NA	NA	NA	NA	NA	7646	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Other specified disorders involving the immune mechanism	endocrine/metabolic
280	rs4266947_T	NA	0.218554891	0.276502838	1.244277315	0.429279321	logistic	7454	241	7213	0.993099332	0.022672391	38		FALSE	FALSE	FALSE	Iron deficiency anemias	hematopoietic
280.1	rs4266947_T	NA	0.244651222	0.276585003	1.277175785	0.376403367	logistic	7448	235	7213	0.993044143	0.022690655	38		FALSE	FALSE	FALSE	"Iron deficiency anemias, unspecified or not due to blood loss"	hematopoietic
280.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7222	9	7213	0.979867727	0.022500692	37	 [Error: < 15  cases or controls]	NA	NA	NA	Iron deficiency anemia secondary to blood loss (chronic)	hematopoietic
281	rs4266947_T	NA	NA	NA	NA	NA	logistic	7225	12	7213	0.980932606	0.022422145	37	 [Error: < 15  cases or controls]	NA	NA	NA	Other deficiency anemia	hematopoietic
281.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7225	12	7213	0.980932606	0.022422145	37	 [Error: < 15  cases or controls]	NA	NA	NA	Megaloblastic anemia	hematopoietic
281.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	7216	3	7213	0.980736238	0.022450111	37	 [Error: < 15  cases or controls]	NA	NA	NA	Pernicious anemia	hematopoietic
281.12	rs4266947_T	NA	NA	NA	NA	NA	logistic	7218	5	7213	0.980780045	0.02244389	37	 [Error: < 15  cases or controls]	NA	NA	NA	Other vitamin B12 deficiency anemia	hematopoietic
281.13	rs4266947_T	NA	NA	NA	NA	NA	logistic	7217	4	7213	0.980758154	0.022447	37	 [Error: < 15  cases or controls]	NA	NA	NA	Folate-deficiency anemia	hematopoietic
281.9	rs4266947_T	NA	NA	NA	NA	NA	NA	7213	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Deficiency anemias	hematopoietic
282	rs4266947_T	NA	NA	NA	NA	NA	logistic	7216	3	7213	0.979730776	0.022519401	37	 [Error: < 15  cases or controls]	NA	NA	NA	Hereditary hemolytic anemias	hematopoietic
282.5	rs4266947_T	NA	NA	NA	NA	NA	logistic	7214	1	7213	0.980692334	0.022456335	37	 [Error: < 15  cases or controls]	NA	NA	NA	Sickle cell anemia	hematopoietic
282.8	rs4266947_T	NA	NA	NA	NA	NA	logistic	7216	3	7213	0.979730776	0.022519401	37	 [Error: < 15  cases or controls]	NA	NA	NA	Other hemoglobinopathies	hematopoietic
282.9	rs4266947_T	NA	NA	NA	NA	NA	NA	7213	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Other hereditary hemolytic anemias	hematopoietic
283	rs4266947_T	NA	NA	NA	NA	NA	logistic	7215	2	7213	0.980714298	0.022453222	37	 [Error: < 15  cases or controls]	NA	NA	NA	Acquired hemolytic anemias	hematopoietic
283.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7214	1	7213	0.980692334	0.022456335	37	 [Error: < 15  cases or controls]	NA	NA	NA	Autoimmune hemolytic anemias	hematopoietic
283.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7214	1	7213	0.980692334	0.022456335	37	 [Error: < 15  cases or controls]	NA	NA	NA	Non-autoimmune hemolytic anemias	hematopoietic
283.21	rs4266947_T	NA	NA	NA	NA	NA	NA	7213	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hemolytic-uremic syndrome	hematopoietic
284	rs4266947_T	NA	NA	NA	NA	NA	logistic	7218	5	7213	0.980780045	0.02244389	37	 [Error: < 15  cases or controls]	NA	NA	NA	Aplastic anemia	hematopoietic
284.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7213	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Pancytopenia	hematopoietic
284.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7213	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Constitutional aplastic anemia	hematopoietic
285	rs4266947_T	NA	0.227168345	0.276786027	1.25504113	0.41179648	logistic	7455	242	7213	0.970689855	0.022669349	37		FALSE	FALSE	FALSE	Other anemias	hematopoietic
285.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7213	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Acute posthemorrhagic anemia	hematopoietic
285.2	rs4266947_T	NA	NA	NA	NA	NA	logistic	7217	4	7213	0.980758154	0.022447	37	 [Error: < 15  cases or controls]	NA	NA	NA	Anemia of chronic disease	hematopoietic
285.21	rs4266947_T	NA	NA	NA	NA	NA	NA	7213	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Anemia in chronic kidney disease	hematopoietic
285.22	rs4266947_T	NA	NA	NA	NA	NA	logistic	7215	2	7213	0.980714298	0.022453222	37	 [Error: < 15  cases or controls]	NA	NA	NA	Anemia in neoplastic disease	hematopoietic
285.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7214	1	7213	0.980692334	0.022456335	37	 [Error: < 15  cases or controls]	NA	NA	NA	Sideroblastic anemia	hematopoietic
285.8	rs4266947_T	NA	NA	NA	NA	NA	NA	7213	NA	NA	NA	NA	37	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hemoglobinuria	hematopoietic
286	rs4266947_T	NA	NA	NA	NA	NA	logistic	7625	2	7623	0.989652162	0.022885246	38	 [Error: < 15  cases or controls]	NA	NA	NA	Coagulation defects	hematopoietic
286.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7624	1	7623	0.98963938	0.022888248	38	 [Error: < 15  cases or controls]	NA	NA	NA	Congenital coagulation defects	hematopoietic
286.11	rs4266947_T	NA	NA	NA	NA	NA	logistic	7624	1	7623	0.98963938	0.022888248	38	 [Error: < 15  cases or controls]	NA	NA	NA	Von willebrand's disease	hematopoietic
286.12	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Congenital deficiency of other clotting factors (including factor VII)	hematopoietic
286.13	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Congenital factor VIII disorder	hematopoietic
286.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Encounter for long-term (current) use of anticoagulants	hematopoietic
286.3	rs4266947_T	NA	NA	NA	NA	NA	NA	3513	NA	NA	NA	NA	16	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Coagulation defects complicating pregnancy or postpartum	hematopoietic
286.4	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Acquired coagulation factor deficiency	hematopoietic
286.5	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hemorrhagic disorder due to intrinsic circulating anticoagulants	hematopoietic
286.6	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Defibrination syndrome	hematopoietic
286.7	rs4266947_T	NA	NA	NA	NA	NA	logistic	7624	1	7623	0.98963938	0.022888248	38	 [Error: < 15  cases or controls]	NA	NA	NA	Other and unspecified coagulation defects	hematopoietic
286.8	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Hypercoagulable state	hematopoietic
286.81	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Primary hypercoagulable state	hematopoietic
286.9	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Abnormal coagulation profile	hematopoietic
287	rs4266947_T	NA	-0.133036438	1.003661724	0.875433193	0.894548429	logistic	7647	24	7623	0.989366918	0.022884791	38		FALSE	FALSE	FALSE	Purpura and other hemorrhagic conditions	hematopoietic
287.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Spontaneous ecchymoses	hematopoietic
287.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7623	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Allergic purpura	hematopoietic
287.3	rs4266947_T	NA	-0.133036438	1.003661724	0.875433193	0.894548429	logistic	7647	24	7623	0.989366918	0.022884791	38		FALSE	FALSE	FALSE	Thrombocytopenia	hematopoietic
287.31	rs4266947_T	NA	0.319566167	1.006141602	1.37653045	0.750776616	logistic	7638	15	7623	0.989248895	0.022911757	38		FALSE	FALSE	FALSE	Primary thrombocytopenia	hematopoietic
287.32	rs4266947_T	NA	NA	NA	NA	NA	logistic	7625	2	7623	0.989652162	0.022885246	38	 [Error: < 15  cases or controls]	NA	NA	NA	Secondary thrombocytopenia	hematopoietic
287.4	rs4266947_T	NA	NA	NA	NA	NA	logistic	7625	2	7623	0.989652162	0.022885246	38	 [Error: < 15  cases or controls]	NA	NA	NA	Qualitative platelet defects	hematopoietic
288	rs4266947_T	NA	NA	NA	NA	NA	logistic	7557	2	7555	0.989339712	0.02302501	38	 [Error: < 15  cases or controls]	NA	NA	NA	Diseases of white blood cells	hematopoietic
288.1	rs4266947_T	NA	0.525670905	0.707426378	1.691593367	0.457436232	logistic	7580	25	7555	0.989061422	0.023021108	38		FALSE	FALSE	FALSE	Decreased white blood cell count	hematopoietic
288.11	rs4266947_T	NA	0.525670905	0.707426378	1.691593367	0.457436232	logistic	7580	25	7555	0.989061422	0.023021108	38		FALSE	FALSE	FALSE	Neutropenia	hematopoietic
288.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7555	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Elevated white blood cell count	hematopoietic
288.3	rs4266947_T	NA	NA	NA	NA	NA	NA	7555	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Eosinophilia	hematopoietic
289	rs4266947_T	NA	NA	NA	NA	NA	logistic	7563	8	7555	0.989982147	0.022940632	38	 [Error: < 15  cases or controls]	NA	NA	NA	Other diseases of blood and blood-forming organs	hematopoietic
289.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7556	1	7555	0.98989413	0.022961885	38	 [Error: < 15  cases or controls]	NA	NA	NA	Myelofibrosis	hematopoietic
289.3	rs4266947_T	NA	NA	NA	NA	NA	NA	7555	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Personal history of diseases of blood and blood-forming organs	hematopoietic
289.4	rs4266947_T	NA	-0.992280862	0.996489835	0.370730142	0.319358896	logistic	7616	61	7555	0.99009285	0.022846639	38		FALSE	FALSE	FALSE	Lymphadenitis	hematopoietic
289.5	rs4266947_T	NA	NA	NA	NA	NA	NA	7555	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Diseases of spleen	hematopoietic
289.8	rs4266947_T	NA	NA	NA	NA	NA	logistic	7546	1	7545	0.989767079	0.022992314	38	 [Error: < 15  cases or controls]	NA	NA	NA	"Polycythemia, secondary"	hematopoietic
289.9	rs4266947_T	NA	NA	NA	NA	NA	NA	7555	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Abnormality of red blood cells	hematopoietic
290	rs4266947_T	NA	NA	NA	NA	NA	logistic	7620	5	7615	0.990141982	0.022834646	38	 [Error: < 15  cases or controls]	NA	NA	NA	Delirium dementia and amnestic and other cognitive disorders	mental disorders
290.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7618	3	7615	0.990117446	0.022840641	38	 [Error: < 15  cases or controls]	NA	NA	NA	Dementias	mental disorders
290.11	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Alzheimer's disease	mental disorders
290.12	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Dementia with cerebral degenerations	mental disorders
290.13	rs4266947_T	NA	NA	NA	NA	NA	logistic	7618	3	7615	0.990117446	0.022840641	38	 [Error: < 15  cases or controls]	NA	NA	NA	Senile dementia	mental disorders
290.16	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Vascular dementia	mental disorders
290.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Delirium due to conditions classified elsewhere	mental disorders
290.3	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Other persistent mental disorders due to conditions classified elsewhere	mental disorders
291	rs4266947_T	NA	NA	NA	NA	NA	logistic	7617	2	7615	0.990105156	0.022843639	38	 [Error: < 15  cases or controls]	NA	NA	NA	Other specified nonpsychotic and/or transient mental disorders	mental disorders
291.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Transient mental disorders due to conditions classified elsewhere	mental disorders
291.4	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Specific nonpsychotic mental disorders due to brain damage	mental disorders
291.8	rs4266947_T	NA	NA	NA	NA	NA	logistic	7617	2	7615	0.990105156	0.022843639	38	 [Error: < 15  cases or controls]	NA	NA	NA	Alteration of consciousness	mental disorders
292	rs4266947_T	NA	0.378713561	0.721955123	1.460404659	0.599884494	logistic	7645	30	7615	0.989340801	0.022890778	38		FALSE	FALSE	FALSE	Neurological disorders	mental disorders
292.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7621	6	7615	0.990154228	0.022831649	38	 [Error: < 15  cases or controls]	NA	NA	NA	Aphasia/speech disturbance	mental disorders
292.11	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Aphasia	mental disorders
292.12	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Symbolic dysfunction	mental disorders
292.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Mild cognitive impairment	mental disorders
292.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7620	5	7615	0.990141982	0.022834646	38	 [Error: < 15  cases or controls]	NA	NA	NA	Memory loss	mental disorders
292.4	rs4266947_T	NA	0.974620173	0.75091667	2.650160419	0.194319216	logistic	7633	18	7615	0.989182774	0.022926765	38		FALSE	FALSE	FALSE	Altered mental status	mental disorders
292.5	rs4266947_T	NA	NA	NA	NA	NA	NA	7615	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Transient alteration of awareness	mental disorders
292.6	rs4266947_T	NA	NA	NA	NA	NA	logistic	7616	1	7615	0.99009285	0.022846639	38	 [Error: < 15  cases or controls]	NA	NA	NA	Hallucinations	mental disorders
293	rs4266947_T	NA	-16.02576973	1433.560344	1.10E-07	0.991080635	logistic	7637	32	7605	0.989235703	0.022914757	38		FALSE	FALSE	FALSE	Symptoms involving head and neck	mental disorders
293.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7617	12	7605	0.988968503	0.022974925	38	 [Error: < 15  cases or controls]	NA	NA	NA	"Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]"	mental disorders
295	rs4266947_T	NA	0.309024481	1.020278538	1.362095716	0.761979433	logistic	7588	15	7573	0.9891688	0.022996837	38		FALSE	FALSE	FALSE	Schizophrenia and other psychotic disorders	mental disorders
295.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7585	12	7573	0.989128655	0.023005933	38	 [Error: < 15  cases or controls]	NA	NA	NA	Schizophrenia	mental disorders
295.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7573	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Paranoid disorders	mental disorders
295.3	rs4266947_T	NA	NA	NA	NA	NA	logistic	7576	3	7573	0.989588165	0.022967265	38	 [Error: < 15  cases or controls]	NA	NA	NA	Psychosis	mental disorders
296	rs4266947_T	NA	-0.079697539	1.028382709	0.923395596	0.938227432	logistic	7594	21	7573	0.989248657	0.022978667	38		FALSE	FALSE	FALSE	Mood disorders	mental disorders
296.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7579	6	7573	0.989047927	0.023024146	38	 [Error: < 15  cases or controls]	NA	NA	NA	Bipolar	mental disorders
296.2	rs4266947_T	NA	-16.24139142	2350.968156	8.84E-08	0.994487951	logistic	7588	15	7573	0.989742155	0.022930944	38		FALSE	FALSE	FALSE	Depression	mental disorders
296.22	rs4266947_T	NA	NA	NA	NA	NA	logistic	7587	14	7573	0.989729408	0.022933966	38	 [Error: < 15  cases or controls]	NA	NA	NA	Major depressive disorder	mental disorders
297	rs4266947_T	NA	NA	NA	NA	NA	NA	7573	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Suicidal ideation or attempt	mental disorders
297.1	rs4266947_T	NA	NA	NA	NA	NA	NA	7573	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Suicidal ideation	mental disorders
297.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7573	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Suicide or self-inflicted injury	mental disorders
300	rs4266947_T	NA	-17.02697446	2195.628506	4.03E-08	0.993812513	logistic	7595	22	7573	0.989830951	0.022909809	38		FALSE	FALSE	FALSE	Anxiety disorders	mental disorders
300.1	rs4266947_T	NA	NA	NA	NA	NA	logistic	7587	14	7573	0.989729408	0.022933966	38	 [Error: < 15  cases or controls]	NA	NA	NA	Anxiety disorder	mental disorders
300.11	rs4266947_T	NA	NA	NA	NA	NA	NA	7573	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Generalized anxiety disorder	mental disorders
300.12	rs4266947_T	NA	NA	NA	NA	NA	logistic	7576	3	7573	0.989588165	0.022967265	38	 [Error: < 15  cases or controls]	NA	NA	NA	"Agorophobia, social phobia, and panic disorder"	mental disorders
300.13	rs4266947_T	NA	NA	NA	NA	NA	NA	7573	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Phobia	mental disorders
300.2	rs4266947_T	NA	NA	NA	NA	NA	NA	7573	NA	NA	NA	NA	38	 [Error: non-varying phenotype or genotype]	NA	NA	NA	Generalized anxiety & phobic disorders	mental disorders
